DataYear,YearBuilt,Electricity(kBtu),PropertyGFATotal,TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,AvgFloorArea,ParkingRatio,NumberofFloors,PropertyGFAParking,BuildingType_Multifamily HR (10+),BuildingType_Multifamily LR (1-4),BuildingType_Multifamily MR (5-9),BuildingType_NonResidential,BuildingType_Nonresidential COS,BuildingType_Nonresidential WA,BuildingType_SPS-District K-12,Outlier_Low outlier
2016,1950,4182001.0,67356,204.08,3.03,66,67356.0,0.0,1,0,False,False,False,False,True,False,False,False
2016,2008,7835065.0,254523,359.09,1.41,8,84841.0,0.0,3,0,False,False,False,False,False,False,True,False
2016,2001,1645214.0,78804,56.82,0.72,15,26268.0,0.0,3,0,False,False,False,False,False,False,True,False
2016,2002,1824845.0,66994,41.74,0.62,14,22331.333333333332,0.0,3,0,False,False,False,False,False,False,True,False
2016,2000,1927067.0,98357,94.64,0.96,16,32785.666666666664,0.0,3,0,False,False,False,False,False,False,True,False
2016,1958,3569337.0,54765,61.21,1.12,58,54765.0,0.0,1,0,False,False,False,True,False,False,False,False
2016,2009,67462.0,89821,100.46,1.12,7,17964.2,0.0,5,0,False,False,False,True,False,False,False,False
2016,1980,2479273.0,52611,104.26,1.98,36,26305.5,0.0,2,0,False,False,False,True,False,False,False,False
2016,2001,2316298.0,139600,129.39,0.93,15,34900.0,0.2686246418338109,4,37500,False,False,False,True,False,False,False,False
2016,2011,4789948.0,236758,222.78,0.94,5,118379.0,0.0,2,0,False,False,False,False,False,False,True,False
2016,1971,8155002.0,250981,422.39,1.68,45,41830.166666666664,0.0,6,0,False,False,False,True,False,False,False,False
2016,2002,1114389.0,62526,54.07,0.86,14,20842.0,0.0,3,0,False,False,False,False,False,False,True,False
2016,2004,30651644.0,299070,2055.82,6.87,12,27188.18181818182,0.22881599625505736,11,68432,False,False,False,True,False,False,False,False
2016,2007,2657382.0,64015,49.58,0.77,9,21338.333333333332,0.0,3,0,False,False,False,True,False,False,False,False
2016,1951,16224529.0,530039,723.47,1.36,65,530039.0,0.0,1,0,False,False,False,True,False,False,False,False
2016,1964,3344827.0,54224,231.53,4.27,52,18074.666666666668,0.0,3,0,False,False,False,True,False,False,False,False
2016,1965,8653621.0,124342,66.3,0.53,51,31085.5,0.0,4,0,False,False,False,True,False,False,False,False
2016,1953,115641210.0,879000,8145.52,9.27,63,87900.0,0.0,10,0,False,False,False,True,False,False,False,False
2016,1996,1859345.0,55442,83.7,1.51,20,18480.666666666668,0.0,3,0,False,False,False,True,False,False,False,False
2016,1999,7859464.0,242795,123.71,0.51,17,121397.5,0.0,2,0,False,False,False,False,False,False,True,False
2016,1910,482635.0,84870,51.11,0.6,106,16974.0,0.0,5,0,False,False,False,True,False,False,False,False
2016,1970,33450832.0,694072,362.82,0.52,46,347036.0,0.16082625433672587,2,111625,False,False,False,False,False,False,False,False
2016,1952,1800727.0,173185,242.36,1.4,64,86592.5,0.0,2,0,False,False,False,False,False,False,True,False
2016,1963,1864967.0,145341,206.01,1.42,53,145341.0,0.0,1,0,False,False,False,False,False,False,True,False
2016,1904,912475.0,114297,69.44,0.61,112,28574.25,0.0,4,0,False,False,False,True,False,False,False,False
2016,1960,2999862.0,184125,328.97,1.79,56,92062.5,0.0,2,0,False,False,False,False,False,False,True,False
2016,1959,0.0,160270,229.38,1.43,57,160270.0,0.0,1,0,False,False,False,False,False,False,True,False
2016,1937,1316817.0,234144,297.43,1.27,79,234144.0,0.0,1,0,False,False,False,True,False,False,False,False
2016,1966,2613687.0,64984,35.78,0.55,50,64984.0,0.0,1,0,False,False,False,True,False,False,False,False
2016,1965,2624102.0,67745,369.14,5.45,51,67745.0,0.0,1,0,False,False,False,True,False,False,False,False
2016,2010,8205020.0,367884,272.85,0.74,6,183942.0,0.0,2,0,False,False,False,False,False,False,True,False
2016,1958,797204.0,46797,73.47,1.57,58,46797.0,0.0,1,0,False,False,False,False,False,False,True,False
2016,1963,0.0,136188,170.9,1.25,53,45396.0,0.0,3,0,False,False,False,False,False,False,True,False
2016,1973,844864.0,56000,59.34,1.06,43,18666.666666666668,0.0,3,0,False,False,False,True,False,False,False,False
2016,2004,1445339.0,67371,46.36,0.69,12,33685.5,0.0,2,0,False,False,False,False,False,False,True,False
2016,1969,523765.0,52088,48.99,0.94,47,26044.0,0.0,2,0,False,False,False,True,False,False,False,False
2016,2010,3729930.0,127776,80.08,0.63,6,42592.0,0.0,3,0,False,False,False,False,False,False,True,False
2016,1998,4079217.0,123920,309.6,2.5,18,24784.0,0.2420916720464816,5,30000,False,False,False,True,False,False,False,False
2016,1900,3797924.0,50000,225.69,4.51,116,50000.0,0.0,1,0,False,False,False,False,True,False,False,False
2016,1926,430474.0,50292,3.0,0.06,90,25146.0,0.0,2,0,False,False,False,False,True,False,False,False
2016,1998,5530787.0,207656,338.16,1.63,18,29665.14285714286,0.2616875987209616,7,54341,False,False,False,True,False,False,False,False
2016,1999,1564728.0,67235,49.12,0.73,17,33617.5,0.0,2,0,False,False,False,False,False,False,True,False
2016,1957,7093984.0,91130,175.77,1.93,59,45565.0,0.0,2,0,False,False,False,False,True,False,False,False
2016,1991,1158457.0,58118,21.29,0.37,25,19372.666666666668,0.0,3,0,False,False,False,False,False,False,True,False
2016,1968,2620548.0,64893,208.26,3.21,48,16223.25,0.0,4,0,False,False,False,True,False,False,False,False
2016,1989,0.0,52792,0.0,0.0,27,26396.0,0.0,2,0,False,False,False,False,False,False,True,False
2016,1925,491106.0,70762,168.88,2.39,91,70762.0,0.0,1,0,False,False,False,False,False,False,True,False
2016,1900,1317637.0,44558,28.27,0.63,116,14852.666666666666,0.0,3,0,False,False,False,True,False,False,False,False
2016,1999,49439914.0,1585960,892.63,0.56,17,264326.6666666667,0.20661302933239173,6,327680,False,False,False,True,False,False,False,False
2016,1924,8772104.0,179161,96.43,0.54,92,89580.5,0.0,2,0,False,False,False,False,True,False,False,False
2016,1965,3928695.0,58640,27.39,0.47,51,29320.0,0.0,2,0,False,False,False,False,True,False,False,False
